symbol,window_start,window_end,regime,trades,wins,losses,gross_profit,gross_loss,total_return_pct,max_drawdown_pct,exit_reasons
STPRNG4,2025-08-08,2025-11-06,trending/high-vol,2,1,1,0.65,0.19,4.59,1.86,"BIAS_REVERSAL:1 EOD_MARK:1"
STPRNG4,2025-09-07,2025-12-06,trending/high-vol,2,1,1,1.60,0.30,12.96,2.62,"TP:1 EOD_MARK:1"
STPRNG4,2025-10-07,2026-01-05,ranging/high-vol,2,1,1,0.86,0.80,0.64,7.36,"BIAS_REVERSAL:1 SL:1"
STPRNG4,2025-11-06,2026-02-04,ranging/high-vol,2,1,1,0.30,0.80,-4.95,7.76,"BIAS_REVERSAL:1 SL:1"
STPRNG4,2025-12-06,2026-03-06,ranging/high-vol,2,1,1,0.93,0.80,1.34,8,"SL:1 EOD_MARK:1"
STPRNG4,2026-01-05,2026-04-05,ranging/high-vol,2,1,1,1.60,0.37,12.28,3.21,"TP:1 BIAS_REVERSAL:1"
STPRNG4,2026-02-04,2026-05-05,ranging/high-vol,2,1,1,1.60,0.37,12.28,3.21,"TP:1 BIAS_REVERSAL:1"
STPRNG4,2026-03-06,2026-06-04,ranging/high-vol,1,1,0,0.22,0.00,2.2,0,"BIAS_REVERSAL:1"
STPRNG4,2026-04-05,2026-07-04,ranging/high-vol,1,1,0,0.59,0.00,5.94,0,"EOD_MARK:1"
STPRNG5,2025-07-09,2025-10-07,ranging/high-vol,3,0,3,0.00,1.68,-16.83,16.83,"SL:1 BIAS_REVERSAL:2"
STPRNG5,2025-08-08,2025-11-06,ranging/high-vol,2,1,1,0.08,0.46,-3.81,4.57,"BIAS_REVERSAL:2"
STPRNG5,2025-09-07,2025-12-06,ranging/high-vol,2,1,1,0.08,0.56,-4.88,5.64,"BIAS_REVERSAL:2"
STPRNG5,2025-10-07,2026-01-05,ranging/high-vol,1,0,1,0.00,0.28,-2.8,2.8,"EOD_MARK:1"
STPRNG5,2025-11-06,2026-02-04,ranging/high-vol,1,0,1,0.00,0.80,-8,8,"SL:1"
STPRNG5,2025-12-06,2026-03-06,ranging/high-vol,1,0,1,0.00,0.80,-8,8,"SL:1"
STPRNG5,2026-01-05,2026-04-05,ranging/high-vol,1,0,1,0.00,0.80,-8,8,"SL:1"
STPRNG5,2026-02-04,2026-05-05,ranging/high-vol,2,0,2,0.00,1.60,-16,16,"SL:2"
STPRNG5,2026-03-06,2026-06-04,ranging/high-vol,3,1,2,0.59,1.60,-10.1,16,"SL:2 EOD_MARK:1"
STPRNG5,2026-04-05,2026-07-04,ranging/high-vol,4,2,2,3.20,1.60,16,8,"SL:2 TP:2"
R_10,2025-07-09,2025-10-07,ranging/med-vol,3,0,3,0.00,0.25,-2.53,2.53,"BIAS_REVERSAL:3"
R_10,2025-08-08,2025-11-06,ranging/med-vol,1,1,0,0.24,0.00,2.37,0,"BIAS_REVERSAL:1"
R_10,2025-09-07,2025-12-06,ranging/med-vol,1,0,1,0.00,0.03,-0.34,0.34,"EOD_MARK:1"
R_10,2025-10-07,2026-01-05,ranging/med-vol,2,1,1,0.26,0.08,1.9,0.75,"BIAS_REVERSAL:1 EOD_MARK:1"
R_10,2025-11-06,2026-02-04,ranging/med-vol,3,2,1,0.37,0.08,2.92,0.75,"BIAS_REVERSAL:2 EOD_MARK:1"
R_10,2025-12-06,2026-03-06,trending/med-vol,2,2,0,0.97,0.00,9.69,0,"BIAS_REVERSAL:1 EOD_MARK:1"
R_10,2026-01-05,2026-04-05,trending/med-vol,2,1,1,0.66,0.28,3.75,2.64,"BIAS_REVERSAL:1 EOD_MARK:1"
R_10,2026-02-04,2026-05-05,ranging/med-vol,3,1,2,0.41,0.50,-0.91,4.82,"BIAS_REVERSAL:3"
R_10,2026-03-06,2026-06-04,ranging/med-vol,3,0,3,0.00,0.67,-6.68,6.68,"BIAS_REVERSAL:3"
R_10,2026-04-05,2026-07-04,ranging/med-vol,2,0,2,0.00,0.19,-1.89,1.89,"BIAS_REVERSAL:2"
R_25,2025-07-09,2025-10-07,ranging/high-vol,4,2,2,0.23,0.48,-2.54,3.44,"BIAS_REVERSAL:3 EOD_MARK:1"
R_25,2025-08-08,2025-11-06,ranging/high-vol,1,1,0,0.41,0.00,4.06,0,"EOD_MARK:1"
R_25,2025-09-07,2025-12-06,trending/high-vol,1,0,1,0.00,0.42,-4.17,4.17,"BIAS_REVERSAL:1"
R_25,2025-10-07,2026-01-05,ranging/high-vol,3,1,2,0.22,1.45,-12.28,14.52,"BIAS_REVERSAL:2 SL:1"
R_25,2025-11-06,2026-02-04,ranging/high-vol,3,2,1,1.00,0.80,1.99,8,"SL:1 BIAS_REVERSAL:1 EOD_MARK:1"
R_25,2025-12-06,2026-03-06,ranging/high-vol,3,1,2,1.60,0.38,12.17,2.82,"BIAS_REVERSAL:2 TP:1"
R_25,2026-01-05,2026-04-05,ranging/high-vol,2,2,0,1.80,0.00,18.02,0,"BIAS_REVERSAL:1 EOD_MARK:1"
R_25,2026-02-04,2026-05-05,ranging/high-vol,2,2,0,0.99,0.00,9.88,0,"BIAS_REVERSAL:2"
R_25,2026-03-06,2026-06-04,ranging/high-vol,2,2,0,0.86,0.00,8.59,0,"BIAS_REVERSAL:1 EOD_MARK:1"
R_25,2026-04-05,2026-07-04,ranging/high-vol,3,1,2,0.22,1.10,-8.83,8.83,"BIAS_REVERSAL:2 SL:1"
R_50,2025-07-09,2025-10-07,ranging/high-vol,6,1,5,0.73,1.51,-7.8,9.77,"SL:1 BIAS_REVERSAL:5"
R_50,2025-08-08,2025-11-06,ranging/high-vol,3,0,3,0.00,1.56,-15.57,15.57,"BIAS_REVERSAL:2 SL:1"
R_50,2025-09-07,2025-12-06,ranging/high-vol,2,0,2,0.00,1.60,-16,16,"SL:2"
R_50,2025-10-07,2026-01-05,ranging/high-vol,2,0,2,0.00,0.87,-8.75,8.75,"SL:1 BIAS_REVERSAL:1"
R_50,2025-11-06,2026-02-04,ranging/high-vol,3,0,3,0.00,1.34,-13.45,13.45,"SL:1 BIAS_REVERSAL:2"
R_50,2025-12-06,2026-03-06,ranging/high-vol,3,0,3,0.00,1.34,-13.45,13.45,"SL:1 BIAS_REVERSAL:2"
R_50,2026-01-05,2026-04-05,trending/high-vol,3,2,1,2.31,0.47,18.45,4.7,"BIAS_REVERSAL:1 TP:1 EOD_MARK:1"
R_50,2026-02-04,2026-05-05,trending/high-vol,5,3,2,3.56,1.60,19.56,12.12,"TP:2 SL:2 EOD_MARK:1"
R_50,2026-03-06,2026-06-04,ranging/high-vol,3,2,1,1.66,0.80,8.62,6.9,"TP:1 SL:1 EOD_MARK:1"
R_50,2026-04-05,2026-07-04,ranging/high-vol,2,0,2,0.00,1.14,-11.43,11.43,"SL:1 BIAS_REVERSAL:1"
R_75,2025-07-09,2025-10-07,trending/high-vol,5,3,2,1.38,0.38,10.01,3.56,"BIAS_REVERSAL:4 EOD_MARK:1"
R_75,2025-08-08,2025-11-06,trending/high-vol,4,3,1,2.68,0.02,26.59,0.17,"BIAS_REVERSAL:2 TP:1 EOD_MARK:1"
R_75,2025-09-07,2025-12-06,ranging/high-vol,3,2,1,2.64,0.02,26.22,0.19,"BIAS_REVERSAL:2 TP:1"
R_75,2025-10-07,2026-01-05,ranging/high-vol,3,2,1,1.86,0.61,12.5,5.13,"TP:1 BIAS_REVERSAL:1 EOD_MARK:1"
R_75,2025-11-06,2026-02-04,ranging/high-vol,3,1,2,0.32,0.86,-5.39,8.36,"BIAS_REVERSAL:1 SL:1 EOD_MARK:1"
R_75,2025-12-06,2026-03-06,ranging/high-vol,3,0,3,0.00,1.59,-15.92,15.92,"SL:1 BIAS_REVERSAL:1 EOD_MARK:1"
R_75,2026-01-05,2026-04-05,ranging/high-vol,2,0,2,0.00,1.00,-9.95,9.95,"BIAS_REVERSAL:2"
R_75,2026-02-04,2026-05-05,ranging/high-vol,2,0,2,0.00,1.38,-13.84,13.84,"SL:1 BIAS_REVERSAL:1"
R_75,2026-03-06,2026-06-04,ranging/high-vol,1,0,1,0.00,0.80,-8,8,"SL:1"
