symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
JD75,sell,2025-07-21T03:00:00.000Z,19243.15,2025-07-27T00:00:00.000Z,20033.21,1,5,-0.21,BIAS_REVERSAL,8.99
R_50,buy,2025-07-21T05:15:00.000Z,114.384,2025-08-05T00:00:00.000Z,122.752,1,10,0.73,BIAS_REVERSAL,9.75
R_10,buy,2025-07-21T10:00:00.000Z,6321.65,2025-07-23T00:00:00.000Z,6261.032,1,10,-0.10,BIAS_REVERSAL,9.75
CRASH900,buy,2025-07-21T15:00:00.000Z,13955.842,2025-08-09T00:00:00.000Z,14014.302,1,5,0.02,BIAS_REVERSAL,10.02
CRASH600,sell,2025-07-22T02:30:00.000Z,18933.201,2025-08-16T00:00:00.000Z,19216.123,1,5,-0.07,BIAS_REVERSAL,9.68
frxEURAUD,buy,2025-07-22T07:45:00.000Z,1.79448,2025-08-11T00:00:00.000Z,1.78652,1,10,-0.04,BIAS_REVERSAL,9.96
frxGBPJPY,sell,2025-07-22T12:15:00.000Z,198.457,2025-08-12T00:00:00.000Z,199.131,1,10,-0.03,BIAS_REVERSAL,9.97
frxUSDCHF,sell,2025-07-22T15:00:00.000Z,0.79564,2025-07-31T00:00:00.000Z,0.81323,1,10,-0.22,BIAS_REVERSAL,9.72
frxAUDUSD,buy,2025-07-22T15:45:00.000Z,0.655,2025-07-31T00:00:00.000Z,0.64449,1,10,-0.16,BIAS_REVERSAL,9.84
frxGBPUSD,buy,2025-07-23T14:00:00.000Z,1.3545,2025-07-29T00:00:00.000Z,1.33546,1,10,-0.14,BIAS_REVERSAL,9.78
1HZ90V,sell,2025-07-24T02:00:00.000Z,14592.991,2025-07-27T18:00:00.000Z,16927.86956,1,5,-0.80,SL,9.20
JD50,buy,2025-07-24T11:45:00.000Z,36072.33,2025-07-25T08:30:00.000Z,33186.543600000005,1,10,-0.80,SL,10.80
frxUSDJPY,buy,2025-07-25T08:00:00.000Z,147.384,2025-08-28T00:00:00.000Z,147.462,1,10,0.01,BIAS_REVERSAL,9.91
frxNZDUSD,sell,2025-07-25T08:00:00.000Z,0.6012,2025-09-09T00:00:00.000Z,0.59459,1,10,0.11,BIAS_REVERSAL,9.95
frxEURGBP,buy,2025-07-25T14:00:00.000Z,0.87233,2025-07-31T00:00:00.000Z,0.86295,1,10,-0.11,BIAS_REVERSAL,9.89
JD25,sell,2025-07-25T14:00:00.000Z,125614.81,2025-08-28T00:00:00.000Z,122939.35,1,10,0.21,BIAS_REVERSAL,9.41
R_25,buy,2025-07-27T13:30:00.000Z,2844.896,2025-08-07T00:00:00.000Z,2902.656,1,10,0.20,BIAS_REVERSAL,10.07
JD50,buy,2025-07-27T15:00:00.000Z,34124.05,2025-08-13T06:15:00.000Z,39583.898,1,10,1.60,TP,12.40
JD75,buy,2025-07-27T22:15:00.000Z,20802.11,2025-07-31T00:00:00.000Z,19644.4,1,5,-0.28,BIAS_REVERSAL,8.72
1HZ15V,buy,2025-07-28T05:45:00.000Z,15205.802,2025-07-30T00:00:00.000Z,14946.142,1,10,-0.17,BIAS_REVERSAL,9.31
BOOM900,buy,2025-07-29T02:45:00.000Z,10138.553,2025-08-07T00:00:00.000Z,9984.901,1,5,-0.08,BIAS_REVERSAL,9.69
frxGBPUSD,sell,2025-07-29T07:15:00.000Z,1.33248,2025-08-08T00:00:00.000Z,1.34495,1,10,-0.09,BIAS_REVERSAL,9.68
frxEURUSD,sell,2025-07-29T12:30:00.000Z,1.15345,2025-09-09T00:00:00.000Z,1.17682,1,10,-0.20,BIAS_REVERSAL,9.68
JD100,sell,2025-07-30T05:45:00.000Z,2842.47,2025-08-05T08:45:00.000Z,1932.8795999999998,1,5,1.60,TP,10.80
STPRNG5,buy,2025-07-30T10:00:00.000Z,6370,2025-08-01T00:00:00.000Z,6098.5,1,10,-0.43,BIAS_REVERSAL,8.77
1HZ100V,buy,2025-07-30T21:00:00.000Z,701.39,2025-08-05T22:15:00.000Z,589.1676,1,5,-0.80,SL,9.41
1HZ50V,sell,2025-07-31T10:45:00.000Z,202054.76,2025-08-03T03:00:00.000Z,218219.14080000002,1,10,-0.80,SL,10.00
frxEURCHF,sell,2025-07-31T16:45:00.000Z,0.92835,2025-08-05T00:00:00.000Z,0.93501,1,10,-0.07,BIAS_REVERSAL,9.93
frxUSDCHF,buy,2025-08-01T08:00:00.000Z,0.81474,2025-09-09T00:00:00.000Z,0.79293,1,10,-0.27,BIAS_REVERSAL,9.45
